gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000094,3,1764420199729396700,0.041472,0.309248,0.041216,152.367872,214.325504,236.602368,484.896256,507.418624
0000000194,4,1764420199733163500,0.031232,0.438528,0.03072,148.599552,210.53568,232.512256,475.070976,498.024448
0000000294,5,1764420199751630000,0.022528,0.304384,0.022272,117.722624,184.310272,206.561024,445.680896,468.179712
0000000095,3,1764420200229638400,0.0256,0.418816,0.025344,218.09664,275.402496,296.230144,544.04224,567.239168
0000000195,4,1764420200234373600,0.031488,0.491776,0.031232,201.846272,259.201536,280.431616,520.639744,544.51072
0000000295,5,1764420200252157700,0.070144,0.36608,0.069888,178.372864,241.784576,262.81088,502.82752,526.303488
0000000096,3,1764420200729784000,0.060672,0.283392,0.059392,72.022528,352.799744,374.157568,622.183168,646.18368
0000000196,4,1764420200734664000,0.023808,0.379392,0.023296,49.0304,329.689856,350.389248,594.182144,617.13152
0000000296,5,1764420200752877000,0.031232,0.246784,0.030976,31.032576,312.435712,333.003776,574.356992,597.477888
0000000097,3,1764420201230641000,0.039168,0.378368,0.038912,134.362368,201.025792,222.402304,463.421184,486.491136
0000000197,4,1764420201236227000,0.023552,0.308992,0.023296,108.72448,177.769472,198.949376,435.66976,458.905344
0000000297,5,1764420201253186800,0.082432,0.379392,0.0768,92.016128,161.454336,182.132992,421.234176,443.90016
0000000098,3,1764420201730925300,0.101888,0.374528,0.040192,197.85728,268.274176,289.210368,530.55744,552.727296
0000000198,4,1764420201736294700,0.035328,0.284416,0.035072,164.433408,242.977792,263.597568,498.690304,521.746176
0000000298,5,1764420201753807400,0.028672,0.42624,0.028416,147.27552,225.855744,246.495744,481.536,504.199168
0000000099,3,1764420202230747000,0.019712,0.200448,0.019456,51.374336,309.05728,329.999616,567.551744,590.8352
0000000199,4,1764420202236454400,0.026112,0.546816,0.025856,230.788096,296.953344,318.78912,564.258048,588.5056
0000000299,5,1764420202254697000,0.045312,0.286464,0.0448,212.5056,278.520832,300.827648,543.713536,566.219776
0000000100,3,1764420202732042000,0.023296,0.749056,0.02304,82.771456,145.28384,166.210304,400.411392,424.39936
0000000200,4,1764420202736638200,0.021504,0.238592,0.021248,79.779072,140.888064,161.543424,395.875584,419.38176
0000000300,5,1764420202754977000,0.023552,0.316928,0.023296,75.710208,340.061696,360.594176,603.672832,626.899712
0000000101,3,1764420203232467700,0.02432,0.279296,0.024064,133.77536,194.305536,215.177728,455.190016,478.0352
0000000201,4,1764420203237644300,0.022016,0.348928,0.02176,130.089472,189.186304,210.0096,449.896448,472.858368
0000000301,5,1764420203254919700,0.044288,0.410368,0.04352,112.799744,173.02528,193.803776,434.739968,458.065152
0000000102,3,1764420203732855000,0.018432,0.299008,0.018176,184.625408,248.2816,268.89856,518.803712,543.057408
0000000202,4,1764420203737998000,0.024064,0.286464,0.023808,181.40672,242.74304,263.280896,515.951616,539.733504
0000000302,5,1764420203755050000,0.072704,0.428032,0.072192,162.538496,226.6112,247.769344,497.135104,520.8768
0000000103,3,1764420204233223000,0.050688,0.2752,0.048896,44.786688,300.8896,322.344192,557.230336,580.72448
0000000203,4,1764420204238231000,0.032256,0.837376,0.032,39.748096,296.018176,317.719808,554.615552,577.574144
0000000303,5,1764420204255085000,0.027648,0.49024,0.027392,225.518592,279.691264,301.293568,536.299776,559.164416
0000000104,3,1764420204734864400,0.028416,0.32512,0.02816,84.068352,344.911104,365.46176,609.32864,632.999936
0000000204,4,1764420204738585000,0.059648,0.454656,0.05888,78.230272,339.966976,360.920832,610.045696,632.996096
0000000304,5,1764420204755292400,0.038144,0.320256,0.037888,61.6512,324.263168,345.030912,590.134528,612.566528
0000000105,3,1764420205235059500,0.029952,0.568576,0.029696,125.17888,196.246272,218.172928,455.784704,478.808832
0000000205,4,1764420205238675200,0.039168,0.50816,0.038912,121.56288,191.937792,212.589056,450.283264,473.601536
0000000305,5,1764420205256112600,0.02816,0.323584,0.027904,104.108288,174.197248,194.726912,433.3632,456.179456
0000000106,3,1764420205737486800,0.04224,1.710848,0.041472,181.160192,250.527744,271.358208,510.924544,5535.180544
0000000206,4,1764420205739420200,0.08064,0.628224,0.076032,179.9296,247.53536,269.18528,507.488,532.14208
0000000306,5,1764420205756870000,0.101376,0.554496,0.10112,162.251264,231.293184,251.9808,490.103296,512.775168
0000000107,3,1764420206237668400,0.101376,1.197824,0.10112,45.1392,308.494848,329.85216,568.004864,593.630208
0000000207,4,1764420206239178200,0.4608,2.1888,0.423936,42.969344,306.974976,328.075008,574.560256,5599.428864
0000000307,5,1764420206257125400,0.051968,0.381184,0.051712,223.64416,289.238272,310.185472,550.5728,574.098432
0000000108,3,1764420206737880000,0.018944,1.220352,0.018944,87.9232,160.275968,180.985856,417.3184,440.804864
0000000208,4,1764420206739398100,0.073472,0.428288,0.071936,87.136256,158.869504,179.8848,415.795712,439.392768
0000000308,5,1764420206757696000,0.03328,0.491776,0.033024,78.157312,331.996928,352.945152,602.647552,5628.309248
0000000109,3,1764420207238588000,0.23936,0.809728,0.039168,149.045248,209.949952,231.030528,473.022976,497.148928
0000000209,4,1764420207239640000,0.042496,1.054208,0.041984,155.618304,217.8304,238.413312,469.472768,496.132864
0000000309,5,1764420207257754600,0.042752,0.354048,0.042496,125.467392,190.854656,211.854336,451.77088,477.982464
0000000110,3,1764420207739635000,0.06016,0.993024,0.059392,202.453504,263.29472,284.67584,525.481216,552.018432
0000000210,4,1764420207740066300,0.018176,0.372992,0.01792,203.066368,264.70144,285.37088,522.697216,545.412096
0000000310,5,1764420207758010000,0.026368,0.52352,0.026112,184.9792,246.319616,266.94528,506.551296,528.358144
0000000111,3,1764420208239838500,0.044288,0.608256,0.044032,50.769152,313.645056,335.034112,576.722944,601.147392
0000000211,4,1764420208240369200,0.024832,0.372736,0.02432,49.646336,313.111808,334.569216,576.20352,601.114624
0000000311,5,1764420208258344000,0.266752,0.59776,0.266496,32.076288,295.314176,316.57088,561.780224,584.667136
0000000112,3,1764420208740081700,0.07808,0.562944,0.077824,95.098624,164.642048,185.563904,419.890688,443.228416
0000000212,4,1764420208740540400,0.029184,0.48256,0.028928,94.509056,164.110848,185.152768,419.12576,442.756352
0000000312,5,1764420208758615600,0.02432,0.339456,0.024064,87.867904,341.575168,362.112,597.987328,621.453312
0000000113,3,1764420209240083000,0.0512,0.463616,0.049152,152.456192,229.420032,250.152192,494.591744,518.02496
0000000213,4,1764420209240646400,0.054528,0.453376,0.047872,150.467072,223.181056,245.283584,476.411392,500.22784
0000000313,5,1764420209258870000,0.033792,0.3648,0.03328,114.249728,199.282688,219.926784,458.507008,481.961728
0000000114,3,1764420209740308000,0.021248,0.324608,0.020992,225.586432,287.398656,308.67968,554.379776,596.445184
0000000214,4,1764420209740839000,0.064256,0.546304,0.062976,206.31296,271.674368,292.59136,536.920832,560.422656
0000000314,5,1764420209758831900,0.039936,0.266752,0.036864,188.318208,253.679104,274.5984,519.04128,542.409728
0000000115,3,1764420210240482000,0.03328,0.48384,0.03328,80.554752,338.124544,359.11296,603.288832,627.079168
0000000215,4,1764420210241146000,0.037888,0.535808,0.037632,70.367232,337.223936,358.8224,607.433984,631.210752
0000000315,5,1764420210259097900,0.038144,0.373504,0.037376,45.858304,312.634368,333.55904,584.748032,608.488192
0000000116,3,1764420210741029000,0.042496,0.465408,0.04224,122.35648,191.465728,212.86144,446.96448,470.765568
0000000216,4,1764420210741139200,0.096,0.388608,0.091136,121.719552,191.260928,211.996928,450.899712,472.571904
0000000316,5,1764420210759554300,0.02688,0.41088,0.02688,103.291136,172.63616,193.42976,429.87392,452.804608
0000000217,4,1764420211241421600,0.032,0.664576,0.031744,180.488704,243.929856,264.906496,504.933888,527.460352
0000000117,3,1764420211241724700,0.05888,1.205248,0.0576,180.14848,243.654144,264.639744,503.07328,525.541376
0000000317,5,1764420211260060400,0.019968,0.290048,0.019712,162.702848,225.254144,246.267392,484.263168,507.170304
0000000218,4,1764420211741533700,0.026368,0.643328,0.026112,30.806784,291.469568,313.982464,552.40192,575.855616
