gnbid,type,timestamp,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000869,11,1764419810114182700,0.530944,0.089856,0.088064,63.314944,628.871936,649.6896,857.52704,879.228416
0000000357,6,1764419810132274200,0.282112,0.030464,0.029952,150.459648,703.746816,724.81024,892.23424,913.732864
0000000268,5,1764419810139114800,0.532736,0.059648,0.059136,136.772608,603.893248,624.797952,836.966656,858.706944
0000000158,4,1764419810156918500,2.476544,0.93056,0.9088,107.505152,568.257024,590.49472,758.083328,781.1072
0000000967,12,1764419810171778300,2.815232,0.046592,0.04608,97.27232,480.152064,501.209856,679.554048,700.52224
0000000664,9,1764419810177620500,1.695488,0.025856,0.0256,146.832896,558.554624,579.249664,750.6048,771.992064
0000000462,7,1764419810178729500,3.595264,0.032512,0.032256,86.770432,553.054464,574.373632,758.099456,781.570304
0000001062,13,1764419810183347000,2.026752,0.04992,0.049664,86.101504,529.567488,551.482624,779.785984,801.48736
0000000558,8,1764419810191546000,0.342272,0.034816,0.03456,80.63488,539.381504,563.694592,774.276096,797.437184
0000000058,3,1764419810191823000,0.19328,0.017664,0.017408,161.32992,623.219968,645.768192,809.772544,831.785472
0000000770,10,1764419810213901600,0.696064,0.09472,0.083712,55.410688,538.287104,559.367168,730.860288,755.6096
0000000870,11,1764419810214501000,0.240384,0.048384,0.048128,61.155584,586.624256,607.305984,790.158336,812.210176
0000000358,6,1764419810232771000,0.419072,0.025344,0.024832,45.847808,514.308608,535.273984,737.266176,760.673024
0000000269,5,1764419810239488500,0.565504,0.039936,0.03968,89.09184,404.922624,425.982976,605.861888,628.825344
0000000159,4,1764419810257404200,0.321792,0.03456,0.034048,86.604544,498.475776,519.579392,713.938176,735.800576
0000000968,12,1764419810271986700,0.626432,0.067072,0.06656,89.400064,515.028992,536.16256,701.507584,723.321088
0000000665,9,1764419810277776100,0.663296,0.042496,0.041984,97.049088,572.484352,593.510656,810.769664,833.517312
0000000463,7,1764419810279561700,0.871936,0.071168,0.070912,70.228224,519.28576,539.96672,698.733824,718.000384
0000001063,13,1764419810284974600,0.651264,0.027392,0.027136,89.230336,554.544896,576.044544,796.709632,817.970176
